Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Bangera's Kitchen,"2F, Ginza Inz 2, 2-2 Ginza, Chuo-ku, Tokyo, 104-0061, Japan","Tokyo, Japan",¥,Indian,139.764968,35.674776,+81335615516,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/bangera-s-kitchen,https://www.bangeras-kitchen.com/,Bib Gourmand,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Chukasoba KOTETSU,"2-39-13 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan","Tokyo, Japan",¥,Ramen,139.66631,35.664633,+81354650044,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/chukasoba-kotetsu,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
Sennomago,"4-4-2 Nishiogikita, Suginami-ku, Tokyo, 167-0042, Japan","Tokyo, Japan",¥¥,Chinese,139.595811,35.706387,+81333904808,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sennomago,http://www.sennomago.com/,Bib Gourmand,"Air conditioning,Cash only"
you-en,"2F, 6-39 Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan","Tokyo, Japan",¥¥,Chinese,139.722594,35.689246,+81362748987,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/you-en,https://www.you-en.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Cash only - lunch,Counter dining,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
AlCeppo,"2F, 1-25-32 Shirokane, Minato-ku, Tokyo, 108-0072, Japan","Tokyo, Japan",¥¥,Italian,139.731574,35.644588,+81354241331,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/alceppo,https://www.al-ceppo.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Mono-bis,"2-8-12 Shibuya, Shibuya-ku, Tokyo, 150-0002, Japan","Tokyo, Japan",¥¥,French,139.707745,35.660754,+81337971017,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/mono-bis,https://mono-bis.com/,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
BARBE,"2-23-7 Nihombashiningyocho, Chuo-ku, Tokyo, 103-0013, Japan","Tokyo, Japan",¥¥,French,139.784565,35.686624,+81366670281,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/barbe,https://www.barbe-hige.com/,Bib Gourmand,"Air conditioning,American Express credit card,Cash only - lunch,Counter dining,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card"
Chukasoba Sawa,"25-14 Nakaitabashi, Itabashi-ku, Tokyo, 173-0016, Japan","Tokyo, Japan",¥,Ramen,139.695969,35.756362,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/chukasoba-sawa,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
Katsuo Shokudo,"B1F, 7-12 Uguisudanicho, Shibuya-ku, Tokyo, 150-0032, Japan","Tokyo, Japan",¥,Japanese,139.702122,35.654087,+81368775324,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katsuo-shokudo,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
noura,"4-10-6 Asakusa, Taito-ku, Tokyo, 111-0032, Japan","Tokyo, Japan",¥¥,French,139.797106,35.718455,+81364581255,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/noura,https://www.noura0815.com/,Bib Gourmand,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Tonkatsu Hasegawa,"3-24-1 Ryogoku, Sumida-ku, Tokyo, 130-0026, Japan","Tokyo, Japan",¥,Tonkatsu,139.7939736,35.6950224,+81356252929,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-hasegawa,https://tonkatsu-hasegawa.com/,Bib Gourmand,"Air conditioning,American Express credit card,Cash only - lunch,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
The Pizza Bar on 38th,"38F, Mandarin Oriental, 2-1-1 Nihombashimuromachi, Chuo-ku, Tokyo, 103-8328, Japan","Tokyo, Japan",¥¥,Pizza,139.773232,35.687041,+81332708800,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/the-pizza-bar-on-38th,https://www.mandarinoriental.co.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
DIALOGUE,"3-23-21 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan","Tokyo, Japan",¥¥,French,139.669812,35.664959,+81368048820,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/dialogue-1200268,https://dialoguefrench.wixsite.com/home,Bib Gourmand,"Air conditioning,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
LAUBURU,"6-8-18 Minamiaoyama, Minato-ku, Tokyo, 107-0062, Japan","Tokyo, Japan",¥¥,French,139.716589,35.659959,+81334981314,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/lauburu,http://lauburu.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Sobamae Nagae,"4-9-3 Todoroki, Setagaya-ku, Tokyo, 158-0082, Japan","Tokyo, Japan",¥,Soba,139.65207,35.608061,+81337016050,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sobamae-nagae,,Bib Gourmand,"Air conditioning,Cash only,Counter dining,Notable sake list"
Soba Tajima,"3-8-6 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan","Tokyo, Japan",¥,Soba,139.726132,35.654728,+81334456617,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/soba-tajima,http://www.sobatajima.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
CRAZY PIZZA at SQUARE,"1-2 Tenjincho, Shinjuku-ku, Tokyo, 162-0808, Japan","Tokyo, Japan",¥¥,Pizza,139.730932,35.704883,+817020081910,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/crazy-pizza-at-square,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Ametsuchi,"1-35-7 Nakacho, Meguro-ku, Tokyo, 153-0065, Japan","Tokyo, Japan",¥,Izakaya,139.693733,35.630775,+81337121806,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ametsuchi,http://www.ame-tsuchi.com/,Bib Gourmand,"Air conditioning,Cash only,Counter dining,Notable sake list"
YAKUMO,"3-6-15 Higashiyama, Meguro-ku, Tokyo, 153-0043, Japan","Tokyo, Japan",¥,Ramen,139.686847,35.65014,+81363033663,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakumo,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
Tonkatsu Narikura,"4-33-9 Naritahigashi, Suginami-ku, Tokyo, 166-0015, Japan","Tokyo, Japan",¥¥,Tonkatsu,139.638723,35.697698,+81368825214,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-narikura,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Gyozabo Chohakkai,"3-37-5 Asagayaminami, Suginami-ku, Tokyo, 166-0004, Japan","Tokyo, Japan",¥,Dumplings,139.634961,35.704507,+81333985527,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/gyozabo-chohakkai,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
Sushidokoro Shigeru,"15 Funamachi, Shinjuku-ku, Tokyo, 160-0006, Japan","Tokyo, Japan",¥¥,Sushi,139.721697,35.691759,+81332261588,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushidokoro-shigeru,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Urokogumo,"1-15-12 Setagaya, Setagaya-ku, Tokyo, 154-0017, Japan","Tokyo, Japan",¥¥,Izakaya,139.650979,35.642488,+81363383935,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/urokogumo,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Le Monde Gourmand,"2-17-15 Midorigaoka, Meguro-ku, Tokyo, 152-0034, Japan","Tokyo, Japan",¥¥,French,139.672178,35.608524,+81357268657,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/le-monde-gourmand,http://lemondegourmand.com/,Bib Gourmand,"Air conditioning,American Express credit card,Cash only - lunch,Counter dining,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Les Copains de DOMINIQUE BOUCHET,"B1F, 5-1-8 Ginza, Chuo-ku, Tokyo, 104-0061, Japan","Tokyo, Japan",¥¥,French,139.761755,35.671997,+81362646566,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/les-copains-de-dominique-bouchet,https://www.lescopains.jp/,Bib Gourmand,"Air conditioning,Credit card / Debit card accepted"
BRAMASOLE,"3-42-5 Jingumae, Shibuya-ku, Tokyo, 150-0001, Japan","Tokyo, Japan",¥¥,Italian,139.713757,35.670999,+81364340615,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/bramasole,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Cristiano's,"1-51-10 Tomigaya Shibuya-ku, Tokyo, 151-0063, Japan","Tokyo, Japan",¥,Portuguese,139.689062,35.668592,+81357900909,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/cristiano-s,http://www.cristianos.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card"
Tohakuan Karibe,"4-23-19 Kasuya, Setagaya-ku, Tokyo, 157-0063, Japan","Tokyo, Japan",¥,Soba,139.602984,35.663492,+81368798998,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tohakuan-karibe,http://touhakuan.jp/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Chukasoba Nishino,"3-30-7 Hongo, Bunkyo-ku, Tokyo, 113-0033, Japan","Tokyo, Japan",¥,Ramen,139.761602,35.706771,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/chukasoba-nishino,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
T'astous,"2-5-21 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan","Tokyo, Japan",¥¥,French,139.737004,35.649953,+81364354722,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/t-astous,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Tachigui Sushi Tonari,"2F, 2-8-7 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan","Tokyo, Japan",¥¥,Sushi,139.734823,35.655522,+81364539950,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Koryori Kuhara,"2-25-38 Higashi, Shibuya-ku, Tokyo, 150-0011, Japan","Tokyo, Japan",¥¥,Japanese,139.707711,35.65356,+815055963472,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/koryori-kuhara,https://k-kuhara.com/,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
DA PEPI,"4-25-6 Sengoku, Bunkyo-ku, Tokyo, 112-0011, Japan","Tokyo, Japan",¥¥,Italian,139.73945,35.730294,+81369021095,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/da-pepi,,Bib Gourmand,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Tempura Kakiage Yukimura,"6-13-13 Shimbashi, Minato-ku, Tokyo, 105-0004, Japan","Tokyo, Japan",¥,Tempura,139.75356,35.661982,+81367215343,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tempura-kakiage-yukimura,,Bib Gourmand,"Air conditioning,Cash only,Counter dining"
La Boucherie Goûtons,"10-15 Nihombashitomizawacho, Chuo-ku, Tokyo, 103-0006, Japan","Tokyo, Japan",¥¥,French,139.782407,35.689588,+81366611156,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/la-boucherie-goutons,http://www.goutons.com/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card"
